usrname,password,email,phone
Gustavo,$2b$12$utmUbMrLNPz9jc1oK.EQNOxKrpuWb/AaZ2bkDe7I5ybj49xxtTu8y,1@,1
Juan,$2b$12$GcnklyANbFZ9UhK8PJuotuoTCO4pzcINxN0TB6PWJMZO6jt6O9g2C,2@,2
John,$2b$12$FJu8ASmPWsPIoT06ISdUhOTC4I4w7N1s/eROC5/DSIjtfSN02crQ6,3@,2
ana,$2b$12$mliN9qKdZ8dxbsNlOt09ouq9OW2CdC3FOfBbTn3SCU8tgQrjPEHOS,@hola,h
Pedro,$2b$12$dnqD6SXFoUhPCRoKBMBg9e85NM06AvEwEsn/FPrV.zEu79OwINxay,@pedro,1
Jose,$2b$12$tupjFdWPlOJK.UJjvCqHV.6GIolNoJLsd3IoXNzVTV5MHB4D6ojdq,@jose,2
Kuan,$2b$12$PsZNZ10bITHzmzaqQH1BWOIj1j5khSDOB/5eedQT2FDVwswSFb44W,@kuan,1
Gusi,$2b$12$xWCxewhybk1jpzmaHg1SxuNC2xG1iTHU8NHkkEZKOTNOXvbtN8PSG,@gusi,1
Jenny,$2b$12$0Iu4PYsTo29wZ3nmQaCBau0dQ5HZJlX0XIgIwd2zQCz9w79.QR4Nq,@jenny,4
David,$2b$12$Q1zkXdCdHJK5ZOnKy0v.x.J9tDaSWqrfCNwA5DDUQx.qKHDIr0wVq,@david,1
Peter,$2b$12$BVIp61oAVIdgrL.lsy3zseSGRWkX3B7LQjN/CUL4dsRNOJBgx/opG,@peter,2
Jeff,$2b$12$.htJU.boEVoSI87rxLjJJuUhcyH84giwo6Lv3pFLu0Ho9hD/OJrBS,@jeff,1
Keno,$2b$12$zEvJtHA89s5WHO0HBfyiGedDWr/s4KNWf9rcgzQDrRyuGMLilz8De,@keno,1
Josue,$2b$12$Y6mHq6zDZnkUhCrvFVfS0O.ruRWTHeM6s6h4ZlyKx5DATkNbmK/vC,@josue,1
Gus,$2b$12$JQEbw6qTTUg1VYFKyqLeBu9VK/.MT4wmhvaO2csyLP6G9REJdDtIC,@gus,1
Ian,$2b$12$4.3PKZckr5kcpd3g/ZEh6OLl1gYOEMmp37ssde5oUfdXN2OW73Ore,@ian,1
